collection,test_name,solver,k,n,cost_mean,cost_stdev,time_mean,time_stdev
qaplib,tai12b,sfw,1,10,55344581.2,2380425.1800213256,0.0004273653030395508,0.00015949024169711591
qaplib,esc32c,sfw,1,10,647.4,3.903844259188627,0.08170874118804931,0.00758113533439819
qaplib,kra30a,sfw,1,10,92816.0,1900.1378897332688,0.03805689811706543,0.014179329089001259
qaplib,kra30b,sfw,1,10,93482.0,1101.960071871935,0.027177906036376952,0.0061742656960910025
qaplib,sko100a,sfw,1,10,153456.0,449.7563784984044,0.23691003322601317,0.06144311299679282
qaplib,esc16i,sfw,1,10,15.0,1.3416407864998738,0.06059818267822266,0.022009127681304683
qaplib,esc128,sfw,1,10,71.2,4.749736834815167,1.1314823627471924,0.528052866595623
qaplib,chr15a,sfw,1,10,18216.6,5069.186920996305,0.06442031860351563,0.03811945039659948
qaplib,lipa40a,sfw,1,10,32288.0,39.713977388320096,0.014164161682128907,0.003755819183479821
qaplib,chr20b,sfw,1,10,3207.4,357.9944692310204,0.05102524757385254,0.022975904958079395
qaplib,scr15,sfw,1,10,57284.6,2359.1505335607562,0.038485360145568845,0.009676791739019483
qaplib,esc16h,sfw,1,10,1018.6,42.839701212776916,0.09849200248718262,0.01085484454807072
qaplib,tai25b,sfw,1,10,445684745.4,32181418.226544484,0.0008106470108032226,0.0001480485099979078
qaplib,had16,sfw,1,10,3732.8,3.9191835884530852,0.025113582611083984,0.0023921571962169288
qaplib,rou15,sfw,1,10,373475.8,8618.317768567134,0.027285552024841307,0.011115341431573184
qaplib,tai15b,sfw,1,10,347579150.9,317852.81795933476,0.0001478433609008789,1.3426353406606422e-05
qaplib,esc32b,sfw,1,10,194.8,5.3814496188294845,0.013495779037475586,0.007863688507063944
qaplib,esc16g,sfw,1,10,30.8,3.4871191548325386,0.0558661699295044,0.05687051723954325
qaplib,sko42,sfw,1,10,15975.8,112.55025544173589,0.03713881969451904,0.0201548269283752
qaplib,lipa30a,sfw,1,10,13610.1,34.72880648683453,0.01275794506072998,0.003562870871794898
qaplib,had18,sfw,1,10,5399.0,21.78531615561271,0.027220439910888673,0.0023939793850725104
qaplib,lipa20b,sfw,1,10,28780.7,1767.0817213700107,0.0046599388122558595,0.0036429966068147216
qaplib,chr15b,sfw,1,10,14347.8,2116.794642850364,0.025600504875183106,0.02078226581772671
qaplib,chr12b,sfw,1,10,13446.6,2884.0270525776973,0.020430827140808107,0.015123732187397668
qaplib,bur26e,sfw,1,10,5677247.9,74395.7924837823,0.0008800268173217773,0.00029611214057207374
qaplib,wil50,sfw,1,10,49119.4,179.31882221339737,0.03281326293945312,0.008376009101931974
qaplib,lipa80a,sfw,1,10,256636.0,106.44153324713055,0.16779451370239257,0.0674546611574853
