collection,test_name,solver,k,n,cost_mean,cost_stdev,time_mean,time_stdev
qaplib,tho40,sfw,1,10,244175.8,1670.6277742214152,0.03569374084472656,0.009170209401975535
qaplib,tho40,tos,1,10,249196.0,4246.804445697965,0.8382430076599121,0.0755381354651091
qaplib,esc16f,sfw,1,10,0.0,0.0,0.00023066997528076172,7.2741113853571934e-06
qaplib,esc16f,tos,1,10,0.0,0.0,0.0002881526947021484,1.1224021499270088e-05
qaplib,bur26c,sfw,1,10,5721982.8,80754.60234909215,0.0015566110610961913,0.0006504224492121159
qaplib,bur26c,tos,1,10,5642311.0,28829.76822314047,1.0725944757461547,0.14541368095269067
qaplib,esc16d,sfw,1,10,16.6,0.9165151389911679,0.08863117694854736,0.017033205676324444
qaplib,esc16d,tos,1,10,16.2,0.6,0.15846004486083984,0.051152781478254736
qaplib,lipa20b,sfw,1,10,28580.1,1848.2294473360173,0.007445836067199707,0.00678600488835885
qaplib,lipa20b,tos,1,10,28092.5,1610.8390515504645,0.2108278751373291,0.15267181200186838
qaplib,nug30,sfw,1,10,6204.4,38.60362677262332,0.03555517196655274,0.007145714168260782
qaplib,nug30,tos,1,10,6212.4,40.06794229805169,0.5791020154953003,0.11606624345565038
qaplib,nug24,sfw,1,10,3563.0,60.75030864119128,0.03338921070098877,0.015347645289808176
qaplib,nug24,tos,1,10,3552.8,67.04744588722228,0.45160229206085206,0.12816631432755834
qaplib,esc32c,sfw,1,10,646.0,3.22490309931942,0.13142027854919433,0.008963884069259867
qaplib,esc32c,tos,1,10,643.4,1.5620499351813308,0.8495863676071167,0.12040745781943812
qaplib,esc32d,sfw,1,10,210.8,4.915282290977803,0.06902754306793213,0.02080197292509502
qaplib,esc32d,tos,1,10,205.4,3.8,0.7336326599121094,0.25913722820892915
qaplib,sko100e,sfw,1,10,150797.8,376.65204101398416,0.13430297374725342,0.055926404811315014
qaplib,sko100e,tos,1,10,151359.0,397.4289873675547,3.5963669300079344,0.14761110334480165
qaplib,chr12c,sfw,1,10,18249.2,4615.212515150305,0.14538424015045165,0.06521688518546269
qaplib,chr12c,tos,1,10,15461.8,2998.3489389995952,0.16774075031280516,0.06568835170361986
qaplib,bur26h,sfw,1,10,7658687.0,132853.5228309735,0.0011511802673339843,0.00030905241698668616
qaplib,bur26h,tos,1,10,7397990.2,58197.88029267046,1.3292490720748902,0.017939865595554206
qaplib,kra30a,sfw,1,10,93093.0,2437.3019919575004,0.054965972900390625,0.012617801977045574
qaplib,kra30a,tos,1,10,92012.0,1423.698001684346,0.650032901763916,0.23663495522551276
qaplib,lipa70b,sfw,1,10,5047439.8,444305.5048326095,0.06029984951019287,0.050487785297267426
qaplib,lipa70b,tos,1,10,5057794.0,456182.8576472378,2.113670563697815,0.8640989356622747
