collection,test_name,solver,k,n,stop_tol,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib-subset,sko100a,tos,3,10,0.0001,153505.6,326.66778231102006,152002,0.009891975105590754,153775.1490443446,11.00467033928754,13.891607138483039,7.648203779924351,14.156752586364746,1.019526327281831,6105.5,5819.5,6077.366666666666,False,7.492450376324266e-06
qaplib-subset,sko100a,sfw,3,10,0.0001,152969.8,319.2659706263729,152002,0.006367021486559311,152888.93805190487,13.102065841386505,13.883887181600565,3.1147060497347514,0.7730535268783569,0.14515626803688172,43.0,37.1,50.16666666666667,False,0.0
qaplib-subset,esc128,tos,3,10,0.0001,66.8,1.32664991614216,64,0.043749999999999956,61.69063809860952,11.779070826467988,15.931016087028478,10.49930518152556,16.164025378227233,2.1314350190975504,5081.9,4124.0,5014.9,False,2.628550303692277e-05
qaplib-subset,esc128,sfw,3,10,0.0001,66.8,1.6,64,0.043749999999999956,56.9852294956007,15.428206009588482,15.905892956842896,3.3866704717048854,14.407328748703003,1.2431779869940436,1576.1,1451.0,1675.4,False,0.0
qaplib-subset,nug30,tos,3,10,0.0001,6181.0,21.63792966066763,6124,0.009307642064010451,6144.6368498533475,6.2252473768220495,7.045219476690683,2.4453964282393024,1.8425728797912597,0.36351452542776935,5699.9,4076.1,5427.266666666667,False,1.9365070648456207e-05
qaplib-subset,nug30,sfw,3,10,0.0001,6175.0,33.648179742743885,6124,0.008327890267798824,6135.464110054057,6.92187065152544,7.479969239845532,2.0293271908567143,0.08251113891601562,0.021351418400832937,114.8,95.7,124.7,False,0.0
qaplib-subset,esc64a,tos,3,10,0.0001,116.2,0.6,116,0.0017241379310345072,106.48076686942333,8.584623742394179,11.170726539078355,6.926644192639403,3.4941321134567263,0.4923121884281299,6573.7,4859.0,5946.7,False,2.5866404071902856e-05
qaplib-subset,esc64a,sfw,3,10,0.0001,116.2,0.6,116,0.0017241379310345072,105.14835071047901,10.839135947809755,11.233343885165265,2.5658347189045108,1.6384020566940307,0.27114652576928594,1083.6,888.5,1067.8666666666668,False,0.0
qaplib-subset,tai100a,tos,3,10,0.0001,21810823.0,73508.92507036135,21044752,0.036401997039451926,21746180.59109549,12.669458098087812,14.056853698678784,4.864769058721309,22.97866823673248,1.1847020162932498,10206.3,8721.4,9616.066666666666,False,1.2440205446588996e-05
qaplib-subset,tai100a,sfw,3,10,0.0001,21418682.0,31323.739125462016,21044752,0.017768325328804065,21394860.144720625,13.67165478149551,14.013811501377603,2.0879123484331763,0.40327537059783936,0.06902354701801072,68.4,48.8,60.733333333333334,False,0.0
qaplib-subset,had20,tos,3,10,0.0001,6946.4,18.906083676954356,6922,0.0035249927766540937,6837.475262139562,3.7592105381603815,4.806105379370881,3.1863262337255502,0.9180715560913086,0.05188189204044881,2936.5,2926.7,3164.1666666666665,False,5.8046884108853635e-06
qaplib-subset,had20,sfw,3,10,0.0001,6947.0,19.16768113257313,6922,0.00361167292689974,6837.6256738231805,3.8683539442658224,4.662534902902038,3.0611044655823294,0.09658164978027343,0.005188885366229049,212.2,201.8,220.3,False,0.0
qaplib-subset,rou20,tos,3,10,0.0001,739486.8,3670.8215102344598,725522,0.01924793459054315,728418.2061431535,5.6383553630243615,6.09593482164406,1.6418262512217985,1.0929946899414062,0.2510481367462144,3695.8,2447.1,3693.399999999999,False,2.7069584224375835e-05
qaplib-subset,rou20,sfw,3,10,0.0001,739572.4,6824.31598330558,725522,0.0193659186075681,728179.2397411817,5.722840846505558,6.097757723002694,1.571516262760566,0.1146763801574707,0.023373789566560308,255.9,219.0,279.2666666666667,False,0.0
qaplib-subset,tho150,tos,3,10,0.0001,8228558.0,14815.822812115432,8133398,0.011699906976149452,8257724.36853986,13.25199187086454,17.233506417489323,10.079735196027835,31.184866762161256,2.2051604328352865,6220.0,6040.4,6270.133333333333,False,4.9780795903210785e-06
qaplib-subset,tho150,sfw,3,10,0.0001,8212827.0,21382.070082197373,8133398,0.009765783009758036,8209776.106211586,16.30225010549389,17.02665927161815,3.3741918252509153,2.0762549161911013,0.42615192238670185,41.1,35.7,44.766666666666666,False,0.0
qaplib-subset,lipa90a,tos,3,10,0.0001,364821.5,149.74862269817376,360630,0.01162271580290048,361600.5747502838,9.819945966490007,13.326375522294876,8.421347182369548,25.283685755729675,0.5586829506302625,9603.9,9413.8,9659.133333333335,False,2.982305496792367e-06
qaplib-subset,lipa90a,sfw,3,10,0.0001,363652.7,135.43710717524945,360630,0.008381720877353553,360532.85903703724,10.789731102579406,13.28822259938281,6.797281437209037,3.1308805465698244,0.326393962957839,225.7,197.7,231.63333333333335,False,0.0
qaplib-subset,sko100b,tos,3,10,0.0001,155720.2,299.4814852374016,153890,0.011892910520501733,155851.4899860291,11.061449778058833,13.970649618840202,7.7104931333533315,20.743088698387147,5.228440844099212,6164.8,5828.6,6155.7666666666655,False,6.271292151125889e-06
qaplib-subset,sko100b,sfw,3,10,0.0001,154918.6,327.1868579267816,153890,0.006683995061407537,154800.52293839437,13.265940061892959,14.06386907938857,3.3114256244246256,1.0312487363815308,0.22151188649587863,56.1,39.1,58.6,False,0.0
qaplib-subset,bur26h,tos,3,10,0.0001,7127951.1,7909.524365598731,7098658,0.004126568712001568,7155933.943266052,5.1187802575392185,6.655346807966619,3.9623379517578754,1.997911310195923,0.3064344561664017,5399.8,4297.9,5416.166666666666,False,4.952575944502257e-05
qaplib-subset,bur26h,sfw,3,10,0.0001,7225090.2,64397.42170118303,7098658,0.01781071858934466,7217547.376857609,6.7440931458774145,6.946071905990398,0.7171875951543037,0.0029077053070068358,0.0007738175402480603,5.6,3.1,4.6,False,0.0
qaplib-subset,chr25a,tos,3,10,0.0001,5264.4,322.86319084095044,3796,0.3868282402528977,4952.482375077963,5.980051634051233,6.47634741954427,1.9845628843177863,1.10193612575531,0.2085703617278499,3299.9,2254.6,2980.4333333333334,False,3.966634995852888e-05
qaplib-subset,chr25a,sfw,3,10,0.0001,6112.0,767.4857653403091,3796,0.6101159114857745,5597.90304761273,6.337010196683262,6.732535569658827,1.6522110393235203,1.287515115737915,0.32043192720273606,1125.1,1079.1,1583.6333333333334,False,0.0
qaplib-subset,ste36c,tos,3,10,0.0001,8540809.0,135758.6621626775,8239110,0.036617911400624585,8122908.586920181,7.033879013426301,8.178475211007193,3.500103206968343,1.9188668489456178,0.2740245371668526,5109.7,4132.5,4812.133333333333,False,2.0736403085972145e-05
qaplib-subset,ste36c,sfw,3,10,0.0001,8608078.0,319450.0065412427,8239110,0.04478250684843387,8102375.518792698,7.202567345473623,7.908776504308037,2.513726483819057,0.36682868003845215,0.1189999485469562,627.4,167.6,460.6,False,0.0
qaplib-subset,wil100,tos,3,10,0.0001,274485.8,365.7884087830012,273038,0.005302558618214272,274984.84669231635,10.629241157427808,13.881806285872335,8.243532581114877,18.680706906318665,2.936730993203652,5996.1,5729.2,6047.0666666666675,False,5.892504450866735e-06
qaplib-subset,wil100,sfw,3,10,0.0001,273980.0,257.42571744097364,273038,0.0034500692211340547,273679.1254672622,12.854251826659725,14.01388553489493,4.155655895979708,0.9396300077438354,0.13348075770818774,53.3,36.2,46.46666666666666,False,0.0
qaplib-subset,lipa90b,tos,3,10,0.0001,12766731.6,828871.8,12490441,0.022120163731608807,12764737.196653837,1.137453583651164,1.3266499161421599,0.5796043113389148,23.425522994995116,6.118562660195109,6464.0,5354.4,7501.233333333332,False,9.32054302952289e-05
qaplib-subset,lipa90b,sfw,3,10,0.0001,12743735.0,759882.0,12490441,0.020279027778122485,12741774.395105232,1.2756968605894987,1.3266499161421599,0.2513922020330023,0.49526541233062743,0.2948329056939653,27.4,20.9,62.66666666666667,False,0.0
qaplib-subset,tai256c,tos,3,10,0.0001,45124918.8,51392.728607848796,44759294,0.00816869006021402,45125160.54479232,16.011668785771565,22.587585957860927,15.796466225950663,30.013376569747926,8.98064925406065,882.6,742.1,1034.0333333333333,False,3.202830251412827e-05
qaplib-subset,tai256c,sfw,3,10,0.0001,45077439.4,61130.28270211091,44759294,0.00710791819013049,45077439.4,22.57429736777059,22.57429736777059,0.0,2.489176845550537,0.5432182201207543,29.2,27.3,29.93333333333333,False,0.0
qaplib-subset,kra32,tos,3,10,0.0001,90885.0,444.5503346079047,88700,0.024633596392333708,89514.52424905829,6.957159289422586,7.808942085539895,2.757843015715176,1.7956433773040772,0.288439813165117,4779.7,3630.8,4540.733333333333,False,2.886655776528604e-05
qaplib-subset,kra32,sfw,3,10,0.0001,91922.0,1655.3718615465227,88700,0.03632468996617813,90526.46092229376,7.3390411163617415,7.897956195975143,2.484393510092265,0.20833046436309816,0.041510757186994346,225.6,203.8,265.43333333333334,False,0.0
qaplib-subset,tai100b,tos,3,10,0.0001,1202804001.7,3445252.214432147,1185996137,0.014171938824788979,1205861690.2806942,10.020756159708613,12.967610561887037,8.288370881193822,26.693579864501952,4.9349596323178915,6459.1,5674.3,6229.633333333334,False,7.553942921207011e-06
qaplib-subset,tai100b,sfw,3,10,0.0001,1209173783.5,8025508.342075226,1185996137,0.01954276727968803,1205697113.380277,11.567250969580495,13.210447259263086,4.996452510468159,0.35326998233795165,0.11658761088090804,30.1,19.5,29.46666666666666,False,0.0
qaplib-subset,tai150b,tos,3,10,0.0001,508190305.7,2234436.616484793,498896643,0.018628433023951993,509096928.21369505,12.783693582634024,17.081213576593864,10.934528258868939,50.866877102851866,5.644632072416132,6194.1,5364.2,6046.066666666667,False,7.752089399857984e-06
qaplib-subset,tai150b,sfw,3,10,0.0001,508526002.9,1854744.2233566036,498896643,0.019301312276017814,508156845.84045136,15.904150460543315,17.233328258084875,4.7916558315020215,1.2415929794311524,0.27146415354752984,43.0,30.5,42.8,False,0.0
qaplib-subset,els19,tos,3,10,0.0001,19775392.6,1525353.8342729665,17212548,0.14889396967839982,17809763.34431804,4.386800918272698,5.57718687668788,2.9010097342886167,1.2447544813156128,0.16972445209712675,3616.8,3171.2,3836.5666666666666,False,1.988703299730179e-05
qaplib-subset,els19,sfw,3,10,0.0001,23484740.8,3618096.2868394977,17212548,0.36439653211134115,21591201.37731055,5.39238886554829,5.702997987927356,1.2203558247940642,0.2709034442901611,0.31410979126997735,397.3,11.5,603.3666666666667,False,0.0
