collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,tai12b,sfw,1,3,57375228.666666664,3582148.4811079823,39464925,0.45382839741027414,49112491.65665611,3.849426519896659,4.468397467314098,2.0643068099673236,0.0009624958038330078,0.00013257831004090124,5.0,5.0,5.0,False,0.0
qaplib,tai12b,sfw,3,3,51174791.0,2447231.342669916,39464925,0.29671577989822606,46575937.77275147,3.9901379586270966,4.69041575982343,1.8751083023722213,0.0011882781982421875,0.0002798204066053501,5.0,3.3333333333333335,4.333333333333333,False,0.0
qaplib,tai12b,tos,1,3,51560438.666666664,887487.3640446318,39464925,0.30648768917378316,47838902.13663324,3.7159948205390543,4.69041575982343,2.4120387640770042,0.6971186002095541,0.4289992694842316,14130.333333333334,14130.333333333334,14130.333333333334,False,1.5716110152748827e-05
qaplib,tai12b,tos,3,3,50311763.0,0.0,39464925,0.2748475513383086,46965959.84334675,3.7659969435801215,4.69041575982343,2.467832405670485,1.280139684677124,0.6610813388608316,2532.6666666666665,2370.3333333333335,8610.666666666666,False,2.676122106264227e-06
qaplib,esc32c,sfw,1,3,646.0,1.632993161855452,642,0.006230529595015576,596.3100115183703,7.398369501644761,7.958002624670603,2.9247191006861377,0.1329828898111979,0.008032603635717214,849.0,849.0,849.0,False,0.0
qaplib,esc32c,sfw,3,3,645.3333333333334,2.494438257849294,642,0.005192107995846373,596.3102385042122,7.1958623174588725,7.743093821987572,3.0233687585618156,0.40319983164469403,0.05406584748039743,838.3333333333334,662.6666666666666,764.4444444444445,False,0.0
qaplib,esc32c,tos,1,3,644.6666666666666,0.9428090415820634,642,0.004153686396676992,597.3907335512694,6.320825649751011,7.916005249341207,4.63479300478699,0.43810447057088214,0.07539633421951424,5768.666666666667,5768.666666666667,5768.666666666667,False,2.2103288061560226e-05
qaplib,esc32c,tos,3,3,642.6666666666666,0.9428090415820634,642,0.0010384215991692037,597.405215624923,6.184437418882552,7.958002624670603,4.675411773732352,1.1979387601216633,0.0748394945063744,4858.666666666667,4467.666666666667,5294.222222222223,False,3.503073449018192e-05
qaplib,kra30a,sfw,1,3,91936.66666666667,2167.8304566752654,88900,0.0341582302212224,90393.79341134425,6.7603630046672265,7.385828232079409,2.4475083894998133,0.04365253448486328,0.014446400722364422,194.66666666666666,194.66666666666666,194.66666666666666,False,0.0
qaplib,kra30a,sfw,3,3,90860.0,279.045993819418,88900,0.02204724409448819,89400.32193272108,6.926369422143345,7.435179490564114,2.364167713372583,0.142912228902181,0.02858749250264062,202.0,202.0,240.7777777777778,False,0.0
qaplib,kra30a,tos,1,3,90813.33333333333,1352.9309746702609,88900,0.021522309711286033,89272.01621332765,5.294707586387336,6.343902578092364,2.6861336766410524,0.3428715070088704,0.04913169115232779,4742.0,4742.0,4742.0,False,2.135956497501341e-05
qaplib,kra30a,tos,3,3,90790.0,1369.2577064477916,88900,0.02125984251968504,89415.90472585028,5.5322542085382915,6.453913266092914,2.605388649650688,0.9773578643798828,0.07034137908936496,4240.0,3547.6666666666665,4295.444444444444,False,1.6061758166657416e-05
qaplib,kra30b,sfw,1,3,93623.33333333333,1341.152075228193,91420,0.02410121782250414,92177.40634251836,6.930384529126916,7.615773105863909,2.49244256362673,0.07526461283365886,0.023379838167918127,390.6666666666667,390.6666666666667,390.6666666666667,False,0.0
qaplib,kra30b,sfw,3,3,92940.0,1157.9579727549126,91420,0.016626558739881864,91622.6777402074,6.7889424050963045,7.433449759276065,2.4022247466072404,0.15784994761149088,0.04620199917233813,271.6666666666667,166.66666666666666,265.0,False,0.0
qaplib,kra30b,tos,1,3,93513.33333333333,702.7722880769338,91420,0.022897980018960058,91863.81317252437,6.732777227640308,7.390051897092422,2.7867759819088977,0.39959295590718585,0.11799017619494422,5302.333333333333,5302.333333333333,5302.333333333333,False,3.37670751148997e-05
qaplib,kra30b,tos,3,3,92866.66666666667,894.06686302287,91420,0.01582440020418586,91320.6239695899,6.3898382920328105,7.29509082453944,3.0253639292134373,0.9081339041392008,0.045282256947962375,4510.333333333333,3793.0,4217.555555555556,False,1.8592242982512994e-05
qaplib,sko100a,sfw,1,3,153170.66666666666,550.7627034899472,152002,0.0076884953268158114,153047.24329871856,12.672441555325511,13.537699751133283,3.3824503833870927,0.28105513254801434,0.07165621304811463,54.666666666666664,54.666666666666664,54.666666666666664,False,0.0
qaplib,sko100a,sfw,3,3,153330.66666666666,47.2534537244516,152002,0.008741113055529907,153255.73746004104,13.291099966480845,14.118506175644063,3.142832405899387,0.8958931763966879,0.180625087810823,46.333333333333336,46.0,55.666666666666664,False,0.0
qaplib,sko100a,tos,1,3,153547.33333333334,321.3070528672258,152002,0.01016653289649704,153827.19229206422,10.974223685149047,13.879654313607796,7.805141599845778,5.152133067448934,1.0250333175858453,6167.666666666667,6167.666666666667,6167.666666666667,False,5.50203393717479e-06
qaplib,sko100a,tos,3,3,153537.33333333334,210.61391744664508,152002,0.01010074428845241,153820.388688474,11.005848124915182,14.07088650821534,7.8793369111053195,16.015190442403156,3.5342107533850977,5884.666666666667,5865.0,6021.444444444445,False,5.143482022437085e-06
qaplib,esc16i,sfw,1,3,14.0,0.0,14,0.0,10.658372558750933,5.309504803575515,5.537101799865234,1.406995510046528,0.3228602409362793,0.06236276007655503,3180.6666666666665,3180.6666666666665,3180.6666666666665,False,0.0
qaplib,esc16i,sfw,3,3,14.0,0.0,14,0.0,11.482689677718943,5.310472704319332,5.656854249492381,1.4618720103683138,0.7884643872578939,0.1131498140856087,2638.6666666666665,1836.6666666666667,2790.2222222222226,False,0.0
qaplib,esc16i,tos,1,3,15.333333333333334,1.8856180831641267,14,0.09523809523809527,10.837715031977226,4.464613038528614,5.2273415859503825,2.8846717059049745,0.04479749997456869,0.006844531571055457,812.0,812.0,812.0,False,6.308984390779002e-05
qaplib,esc16i,tos,3,3,14.0,0.0,14,0.0,11.374632246464026,4.654440587297938,5.477225575051661,2.795820437362096,0.15365449587504068,0.01226481638639308,972.6666666666666,712.0,953.0,False,4.661572959560079e-06
qaplib,esc128,sfw,1,3,76.0,4.320493798938574,64,0.1875,63.862182888037374,15.064212771337727,15.832260499791582,4.337601767841554,9.125259478886923,4.520226667428876,2066.6666666666665,2066.6666666666665,2066.6666666666665,False,0.0
qaplib,esc128,sfw,3,3,69.33333333333333,4.988876515698588,64,0.08333333333333326,59.1797487551981,15.298411338154118,15.937129433613967,3.8342432145782546,21.50793703397115,10.077740571110652,1614.0,1449.3333333333333,1767.1111111111113,False,0.0
qaplib,esc128,tos,1,3,71.33333333333333,0.9428090415820634,64,0.11458333333333326,63.875024943420506,11.774321181137195,15.937295105632257,10.64856935880683,11.298566420873007,0.7603309694386574,6273.666666666667,6273.666666666667,6273.666666666667,False,2.793253644358813e-05
qaplib,esc128,tos,3,3,67.33333333333333,0.9428090415820634,64,0.05208333333333326,62.41971231473956,11.766974750339847,15.97912581683641,10.644066021716435,20.490377108256023,1.7861402220808855,5666.0,5135.0,5664.444444444444,False,2.2353106073052032e-05
qaplib,chr15a,sfw,1,3,17676.666666666668,4888.938626009626,9896,0.7862436001077878,13928.201509124468,4.597549295434858,4.823378318052907,1.6615556515426857,0.23833441734313965,0.1646268436527104,2205.6666666666665,2205.6666666666665,2205.6666666666665,False,0.0
qaplib,chr15a,sfw,3,3,15596.666666666666,1548.6685320694748,9896,0.5760576663971975,12842.823897267537,4.57832330669761,5.029820531087298,1.621713201964659,0.8136500517527262,0.13921144009049133,2089.3333333333335,1768.0,2683.0,False,0.0
qaplib,chr15a,tos,1,3,14140.666666666666,2999.6916878609745,9896,0.42892751279978436,11769.913517094372,4.405214755303118,4.823378318052907,1.7995383234966082,0.13991832733154297,0.023187514726675993,2281.6666666666665,2281.6666666666665,2281.6666666666665,False,3.981163850097421e-05
qaplib,chr15a,tos,3,3,12815.333333333334,767.4413477408043,9896,0.29500134734572897,11326.554322440337,4.2625317042049895,4.9542193635738485,1.9308324741737108,0.34995365142822266,0.1607116827285249,1239.0,1114.3333333333333,1911.4444444444443,False,4.6308881117102726e-05
qaplib,lipa40a,sfw,1,3,32320.0,55.68363014986242,31538,0.024795484811972857,31687.389493755894,6.56878690543732,8.754798354707711,5.297837967721468,0.020246108373006184,0.005944490511894434,55.333333333333336,55.333333333333336,55.333333333333336,False,0.0
